Type,Dog_ID,Name,Field,Old_Value,New_Value,Status,Location
ADOPTED,211834064,Scout,,,,adopted,
ADOPTED,208808287,Ping,,,,adopted,
TRIAL_ADOPTION,211462064,Rio,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,211808307,Tim,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,211819096,Sweet Pea ,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,208809275,Isabella,,,,Available,"Main Campus, Trial Adoption"
UNLISTED,208812347,Zoe,,,,Available,"Main Kennel North, Main Campus - MKN-28"
UNLISTED,208812411,Snoopy,,,,Available,"Main Kennel North, Main Campus - MKN-07"
UNLISTED,208815693,Ferris,,,,Available,"Main Campus - Main Kennel South, MKS-09"
UNLISTED,208817015,Harley,,,,Available,"Main Campus - Main Kennel South, MKS-08"
UNLISTED,208817674,Griffin,,,,Available,"Main Kennel North, Main Campus - MKN-06"
UNLISTED,208818048,Chuckie,,,,Available,"Main Campus- Big Blue, BB-18"
UNLISTED,208818887,Taco ,,,,Available,"Main Campus- Big Blue, BB-20"
UNLISTED,208819565,Rocco,,,,Available,"Main Campus - Main Kennel South, MKS-10"
UNLISTED,210061291,Ivy,,,,Available,"Main Campus- Big Blue, BB-17"
UNLISTED,210433767,Warbler,,,,Available,"Main Campus- Big Blue, BB-09"
UNLISTED,210468592,Atlas,,,,Available,"Main Kennel North, Main Campus - MKN-13"
UNLISTED,210495588,Hazel,,,,Available,"Main Campus- Big Blue, BB-01"
UNLISTED,210698425,Phelps,,,,Available,"Main Campus - Main Kennel South, MKS-13"
UNLISTED,210758790,Tangerine ,,,,Available,"Main Campus- Big Blue, BB-22"
UNLISTED,210841997,Junebug,,,,Available,"Main Campus- Big Blue, BB-12"
UNLISTED,211032775,Jane ,,,,Available,"Main Kennel North, Main Campus - MKN-05"
UNLISTED,211066523,Brandy ,,,,Available,"Main Kennel North, Main Campus - MKN-22"
UNLISTED,211410022,Zane,,,,Available,"Main Kennel North, Main Campus - MKN-23"
UNLISTED,211460756,Tom Hardy,,,,Available,"Main Campus- Big Blue, BB-23"
UNLISTED,211460888,Molly,,,,Available,"Main Kennel North, Main Campus - MKN-03"
UNLISTED,211590344,Hermione,,,,Available,"Main Kennel North, Main Campus - MKN-19"
UNLISTED,211590452,Ginny,,,,Available,"Main Kennel North, Main Campus - MKN-21"
