Type,Dog_ID,Name,Field,Old_Value,New_Value,Status,Location
ADOPTED,211720642,Aleu ,,,,adopted,
ADOPTED,211903024,Izzy,,,,adopted,
ADOPTED,211839851,Vixie,,,,adopted,
ADOPTED,211903456,Havana,,,,adopted,
ADOPTED,211823717,Gnocchi,,,,adopted,
ADOPTED,211823911,Tortellini,,,,adopted,
ADOPTED,211812176,Elton,,,,adopted,
ADOPTED,211818877,Gus ,,,,adopted,
ADOPTED,211687029,Jenna ,,,,adopted,
ADOPTED,211814172,Duchess,,,,adopted,
ADOPTED,211696605,Agent Hill,,,,adopted,
ADOPTED,211707283,Celsius,,,,adopted,
ADOPTED,211812422,Crescendo,,,,adopted,
ADOPTED,211648340,Umbreon,,,,adopted,
ADOPTED,211834394,Pickle ,,,,adopted,
ADOPTED,211208121,Thunder,,,,adopted,
ADOPTED,211661836,Cora,,,,adopted,
ADOPTED,211840174,Muichiro,,,,adopted,
ADOPTED,211761683,Kiera,,,,adopted,
ADOPTED,211795874,Wishbone,,,,adopted,
ADOPTED,208813500,Belle,,,,adopted,
ADOPTED,211510365,Noelle,,,,adopted,
ADOPTED,211707070,Oca,,,,adopted,
ADOPTED,211696310,Captain America,,,,adopted,
ADOPTED,211725792,Winnie,,,,adopted,
ADOPTED,211254014,Amelia,,,,adopted,
ADOPTED,211689729,Brulee,,,,adopted,
ADOPTED,211823828,Ravioli,,,,adopted,
ADOPTED,211812321,Allegretto,,,,adopted,
ADOPTED,211795803,Dusty,,,,adopted,
ADOPTED,210775713,Aries,,,,adopted,
ADOPTED,211811981,Shadowheart,,,,adopted,
ADOPTED,211520811,Boba Fetch ,,,,adopted,
ADOPTED,211811951,Karlach,,,,adopted,
ADOPTED,211789992,Tina,,,,adopted,
ADOPTED,211812054,Astarion,,,,adopted,
ADOPTED,211696498,Falcon,,,,adopted,
ADOPTED,211696360,Peggy Carter,,,,adopted,
ADOPTED,211812040,Minthara,,,,adopted,
ADOPTED,211281311,Bonnie,,,,adopted,
ADOPTED,211662003,Bilbo Waggins,,,,adopted,
ADOPTED,211818785,Cosmo,,,,adopted,
ADOPTED,210651765,Dr. Meatball,,,,adopted,
ADOPTED,210921368,Esme ,,,,adopted,
ADOPTED,211720890,Arthur Morgan,,,,adopted,
ADOPTED,211790905,Cadbury,,,,adopted,
ADOPTED,211761261,Brodie ,,,,adopted,
ADOPTED,211696117,Clint,,,,adopted,
ADOPTED,211696430,Bucky Barnes,,,,adopted,
ADOPTED,211807878,Scratch,,,,adopted,
ADOPTED,208817014,Bruno,,,,adopted,
ADOPTED,211812484,Falsetto,,,,adopted,
ADOPTED,211502739,Fiona,,,,adopted,
ADOPTED,211491129,Nick Furry,,,,adopted,
ADOPTED,211789855,Jerry,,,,adopted,
ADOPTED,211790369,Prince,,,,adopted,
ADOPTED,211761119,Minna,,,,adopted,
ADOPTED,211761473,Lola ,,,,adopted,
ADOPTED,211790220,Ben,,,,adopted,
ADOPTED,210798763,Florence,,,,adopted,
ADOPTED,211648398,Sylveon,,,,adopted,
ADOPTED,211694553,Lasagna,,,,adopted,
ADOPTED,211260828,Fili,,,,adopted,
ADOPTED,211720244,Mars,,,,adopted,
ADOPTED,211720372,Proteus ,,,,adopted,
ADOPTED,211720186,Pluto,,,,adopted,
ADOPTED,210719230,Remington,,,,adopted,
ADOPTED,211552592,Sproket,,,,adopted,
ADOPTED,211720123,Star,,,,adopted,
ADOPTED,211696559,Photon,,,,adopted,
ADOPTED,211720318,Sinbad,,,,adopted,
ADOPTED,211038271,Littles ,,,,adopted,
ADOPTED,210926797,Mila ,,,,adopted,
ADOPTED,211706864,Nos,,,,adopted,
ADOPTED,211696736,Yelena,,,,adopted,
ADOPTED,211670404,Mindy,,,,adopted,
ADOPTED,208812036,Alpha Dog,,,,adopted,
ADOPTED,211649077,Pancake,,,,adopted,
ADOPTED,211761996,Stray Hold - Thor,,,,reclaimed,
ADOPTED,211728883,Avery,,,,adopted,
ADOPTED,211696827,Natasha,,,,adopted,
ADOPTED,208819111,Lady,,,,adopted,
ADOPTED,211294191,Betty Boop,,,,adopted,
ADOPTED,211570377,Theo,,,,adopted,
ADOPTED,208819156,Dakota,,,,adopted,
ADOPTED,211564348,Darla,,,,adopted,
ADOPTED,211552993,Radish,,,,adopted,
ADOPTED,211564800,Romance,,,,adopted,
ADOPTED,211552760,Chantrelle,,,,adopted,
ADOPTED,211037990,Eve,,,,adopted,
ADOPTED,211706755,Alani,,,,adopted,
ADOPTED,211564788,Mystery,,,,adopted,
ADOPTED,211564764,Mira,,,,adopted,
ADOPTED,211606621,Jade,,,,adopted,
ADOPTED,211706560,Marina,,,,adopted,
ADOPTED,211681696,Liam ,,,,adopted,
ADOPTED,211680482,Primrose,,,,adopted,
ADOPTED,211564613,Cherry,,,,adopted,
ADOPTED,211564459,Leroy,,,,adopted,
ADOPTED,211564584,Watermelon,,,,adopted,
ADOPTED,211564541,Strawberry,,,,adopted,
ADOPTED,211521152,Ahsoka,,,,adopted,
ADOPTED,211606699,Maverick,,,,adopted,
ADOPTED,211584301,Tank,,,,adopted,
