Type,Dog_ID,Name,Field,Old_Value,New_Value,Status,Location
ADOPTED,208808287,Ping,,,,adopted,
ADOPTED,211823717,Gnocchi,,,,adopted,
ADOPTED,211903456,Havana,,,,adopted,
TRIAL_ADOPTION,211812422,Crescendo,,,,Available,"Westside Adoption Center, Trial Adoption"
TRIAL_ADOPTION,211462064,Rio,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,211819096,Sweet Pea ,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,208809275,Isabella,,,,Available,"Main Campus, Trial Adoption"
TRIAL_ADOPTION,211808307,Tim,,,,Available,"Main Campus, Trial Adoption"
UNLISTED,208809271,Oreo,,,,Available,"Main Campus- Big Blue, BB-19"
UNLISTED,208812347,Zoe,,,,Available,"Main Kennel North, Main Campus - MKN-28"
UNLISTED,208812411,Snoopy,,,,Available,"Main Kennel North, Main Campus - MKN-07"
UNLISTED,208815693,Ferris,,,,Available,"Main Campus - Main Kennel South, MKS-09"
UNLISTED,208817015,Harley,,,,Available,"Main Campus - Main Kennel South, MKS-08"
UNLISTED,208817674,Griffin,,,,Available,"Main Kennel North, Main Campus - MKN-06"
UNLISTED,208818048,Chuckie,,,,Available,"Main Campus- Big Blue, BB-18"
UNLISTED,208818887,Taco ,,,,Available,"Main Campus- Big Blue, BB-20"
UNLISTED,210061291,Ivy,,,,Available,"Main Campus- Big Blue, BB-17"
UNLISTED,210433767,Warbler,,,,Available,"Main Campus- Big Blue, BB-09"
UNLISTED,210468592,Atlas,,,,Available,"Main Kennel North, Main Campus - MKN-13"
UNLISTED,210569574,Ramen,,,,Available,"Main Campus- Big Blue, BB-08"
UNLISTED,210698425,Phelps,,,,Available,"Main Campus - Main Kennel South, MKS-13"
UNLISTED,210758790,Tangerine ,,,,Available,"Main Campus- Big Blue, BB-22"
UNLISTED,210841997,Junebug,,,,Available,"Main Campus- Big Blue, BB-12"
UNLISTED,211032775,Jane ,,,,Available,"Main Kennel North, Main Campus - MKN-05"
UNLISTED,211066523,Brandy ,,,,Available,"Main Kennel North, Main Campus - MKN-22"
UNLISTED,211410022,Zane,,,,Available,"Main Kennel North, Main Campus - MKN-23"
UNLISTED,211460756,Tom Hardy,,,,Available,"Main Campus- Big Blue, BB-23"
UNLISTED,211460888,Molly,,,,Available,"Main Kennel North, Main Campus - MKN-03"
UNLISTED,211590344,Hermione,,,,Available,"Main Kennel North, Main Campus - MKN-19"
UNLISTED,211590452,Ginny,,,,Available,"Main Kennel North, Main Campus - MKN-21"
UNLISTED,211639083,Pudding,,,,Available,"Main Campus- Big Blue, BB-21"
UNLISTED,211680593,Katniss,,,,Available,"Main Campus - Main Kennel South, MKS-16"
UNLISTED,211681932,Benji,,,,Available,"Main Campus- Big Blue, BB-14"
UNLISTED,211686957,Dahlia,,,,Available,"Main Campus- Big Blue, BB-05"
UNLISTED,211696060,Wanda,,,,Available,"Main Campus- Big Blue, BB-24"
UNLISTED,211696516,Captain Marvel,,,,Available,"Main Campus- Big Blue, BB-13"
UNLISTED,211720642,Aleu ,,,,Available,"Main Campus- Big Blue, BB-06"
UNLISTED,211721069,Jabba the Pup,,,,Available,"Main Kennel North, Main Campus - MKN-04"
UNLISTED,211795622,Dolly,,,,Available,"Main Campus - Main Kennel South, MKS-11"
UNLISTED,211808589,Tam,,,,Available,"Main Campus- Big Blue, BB-07"
UNLISTED,211811917,Lae'zel,,,,Available,"Main Campus- Big Blue, BB-02"
UNLISTED,211812176,Elton,,,,Available,"Main Campus- Big Blue, BB-04"
UNLISTED,211823911,Tortellini,,,,Available,"Main Kennel North, Main Campus - MKN-17"
UNLISTED,211875394,Santana,,,,Available,"Main Kennel North, Main Campus - MKN-18"
UNLISTED,211903055,Andi,,,,Available,"Main Campus- Big Blue, BB-25"
UNLISTED,211903105,Gambit,,,,Available,"Main Kennel North, Main Campus - MKN-20"
UNLISTED,211903164,Falkor,,,,Available,"Main Kennel North, Main Campus - MKN-24"
UNLISTED,211903229,Tauriel,,,,Available,"Main Campus- Big Blue, BB-15"
UNLISTED,211903273,Jean Grey,,,,Available,"Main Campus- Big Blue, BB-03"
UNLISTED,211903376,Cyclops,,,,Available,"Main Campus- Big Blue, BB-11"
UNLISTED,211910330,Ragnar,,,,Available,"Main Campus- Big Blue, Website"
UNLISTED,211910372,Floki,,,,Available,"Main Kennel North, Main Campus - MKN-08"
UNLISTED,211910420,Rollo,,,,Available,"Main Kennel North, Main Campus - MKN-14"
UNLISTED,211911009,Beemo,,,,Available,"Main Kennel North, Main Campus - MKN-16"
UNLISTED,211917893,Cochise,,,,Available,"Main Kennel North, Main Campus - MKN-01"
UNLISTED,210282034,Hemi,,,,Available,"Main Kennel North, Main Campus - MKN-15"
UNLISTED,210495598,Wilbur,,,,Available,"Main Campus - Main Kennel South, MKS-18"
UNLISTED,211839851,Vixie,,,,Available,"Main Kennel North, Main Campus - MKN-27"
UNLISTED,211834149,Skipper,,,,Available,"Westside Adoption Center, Dog Kennel 4"
UNLISTED,211834297,Ziggy ,,,,Available,"Westside Adoption Center, Dog Kennel 3"
UNLISTED,211834064,Scout,,,,Available,"Westside Adoption Center, Dog Kennel 2"
UNLISTED,211281108,Billy,,,,Available,Foster Home
UNLISTED,211590195,Girby,,,,Available,Foster Home
UNLISTED,211808037,Raphtalia,,,,Available,Foster Home
UNLISTED,210495588,Hazel,,,,Available,"Main Campus- Big Blue, BB-01"
UNLISTED,208819565,Rocco,,,,Available,"Main Campus - Main Kennel South, MKS-10"
UNLISTED,211294318,Luna,,,,Available,"Main Campus - Main Kennel South, MKS-20"
UNLISTED,208819751,Mowgli,,,,Available,"Main Campus - Main Kennel South, MKS-21"
UNLISTED,210919404,Freddy,,,,Available,"Main Campus - Main Kennel South, MKS-19"
UNLISTED,211823502,Bao,,,,Available,"Dog Treatment, T-08"
UNLISTED,211823638,Mateo,,,,Available,"Dog Treatment, T-08"
