shelter_name,address,city,state,zipcode,lat,lon
ABQ Animal Welfare Department,8920 Lomas Blvd NE,Albuquerque,NM,87112,35.1102,-106.5823
Artesia Animal Shelter (Paws & Claws Humane Society),502 Paddy Wagon Way,Artesia,NM,88120,32.8423,-104.4033
Aztec Animal Shelter,825 Sabena St,Aztec,NM,87410,36.8305,-108.0095
Bayard Animal Control,524 Fort Bayard St,Santa Clara,NM,88026,32.7795,-108.1503
Bernalillo County Animal Care,3001 2nd St SW,Albuquerque,NM,87105,35.0561,-106.6646
Bro & Tracy Animal Welfare,,Corrales,NM,87048,35.2378,-106.6067
City of Las Vegas Animal Care Center,1680 N Grand Ave,Las Vegas,NM,87701,35.5939,-105.2239
Clayton,NM,88415
Corrales Animal Services,4324 Corrales Rd,Corrales,NM,87048,35.2393,-106.6054
Corrales Kennels,490 E Valverde Rd,Corrales,NM,87048,35.2378,-106.6067
DAGSHIP Rescue,1755 Domingo Rd SW,Deming,NM,88030,32.2655,-107.7582
Espanola Humane,108 Hamm Pkwy,Espanola,NM,87532,36.0006,-106.0373
Four Corners Animal League,,Taos,NM,87571,36.4072,-105.5731
Humane Society of Lincoln County,25962 US-70,Ruidoso,NM,88345,33.3436,-105.6650
Moriarty Animal Control,320 Saiz Rd,Moriarty,NM,87035,34.9996,-106.0183
Mountainair Animal Control,609 3rd St,Mountainair,NM,87036,34.5197,-106.2433
Otero County Animal Control,601 Wright Ave,Alamogordo,NM,88310,32.8995,-105.9603
Paws & Claws Rescue of Quay County,6427 Quay County Rd AI,Tucumcari,NM,88401,35.1911,-103.6150
Petroglyph Animal Hospital,6633 Caminito Coors NW,Albuquerque,NM,87120,35.1728,-106.6737
Roswell Humane Society,703 E McGaffey St,Roswell,NM,88203,33.3930,-104.5235
Sandoval County Animal Services,1500 Idalia Rd,Bernalillo,NM,87004,35.3515,-106.4694
Santa Rosa Animal Control,,Santa Rosa,NM,88435,34.9387,-104.6825
Socorro Animal Shelter and Adoption Center,100 Airport Rd,Socorro,NM,87801,34.0225,-106.9031
Stray Hearts Animal Shelter,1200 St Francis Ln,Taos,NM,87571,36.4096,-105.5732
The Animal Services Center,3551 Bataan Memorial Way,Las Cruces,NM,88012,32.3128,-106.7799
Torrance County Animal Shelter,751 Salt Mission Trail,McIntosh,NM,87032,34.8712,-106.0515
Truth or Consequences Animal Shelter,1101 Cedar St,Truth or Consequences,NM,87091,33.1347,-107.2425
